지하철역,노선명,위도,경도
419민주묘지,우이신설선,37.649593,127.013746
가능,1호선,37.748577,127.044213
가락시장,3호선8호선,37.492522,127.118234
가산디지털단지,1호선7호선,37.481072,126.882343
가양,9호선,37.561391,126.854456
가오리,우이신설선,37.641701,127.016792
가좌,경의중앙선,37.568491,126.915487
가천대,수인분당선,37.448605,127.126697
가평,경춘선,37.814536,127.510739
간석,경인선,37.464737,126.694181
갈매,경춘선,37.634118,127.114757
강남,2호선,37.497175,127.027926
강남구청,7호선수인분당선,37.517186,127.04128
강동,5호선,37.535804,127.132481
강동구청,8호선,37.530341,127.120508
강매,경의중앙선,37.612314,126.843223
강변,2호선,37.535095,127.094681
강일,5호선,,
강촌,경춘선,37.805723,127.634146
개롱,5호선,37.498079,127.13482
개봉,경인선,37.494594,126.85868
개포동,수인분당선,37.489116,127.06614
개화,9호선,37.578608,126.798153
개화산,5호선,37.572399,126.806171
거여,5호선,37.493105,127.14415
건대입구,2호선7호선,37.540693,127.07023
검암,공항철도,37.569104,126.673728
경기광주,경강선,37.399907,126.630347
경마공원,4호선,37.443885,127.007888
경복궁,3호선,37.575762,126.97353
경찰병원,3호선,37.495918,127.12454
계양,공항철도,37.571462,126.735637
고덕,5호선,37.555004,127.154151
고려대,6호선,37.590508,127.036296
고색,수인분당선,,
고속터미널,3호선7호선9호선,37.50481,127.004943
고잔,4호선,37.316777,126.823249
곡산,경의중앙선,37.645676,126.801762
곤지암,경강선,37.351315,127.34674
공덕,5호선6호선경의중앙선공항철도,37.544018,126.951592
공릉,7호선,37.625742,127.072896
공항시장,9호선,37.563726,126.810678
공항화물청사,공항철도,37.458366,126.476241
과천,4호선,37.433021,126.996568
관악,1호선,37.419232,126.908706
관악산,신림선,,
광나루,5호선,37.545303,127.10357
광명,1호선,37.416182,126.884466
광명사거리,7호선,37.479252,126.854876
광운대,1호선,37.623632,127.061835
광화문,5호선,37.571026,126.976669
광흥창,6호선,37.547456,126.931993
교대,2호선3호선,37.493415,127.01408
구로,1호선,37.503039,126.881966
구로디지털단지,2호선,37.485266,126.901401
구룡,수인분당선,37.486839,127.058856
구리,경의중앙선,37.603392,127.143869
구반포,9호선,37.501364,126.987332
구산,6호선,37.611377,126.91727
구성,수인분당선,37.298969,127.105664
구의,2호선,37.537077,127.085916
구일,경인선,37.496756,126.870793
구파발,3호선,37.636763,126.918821
국수,경의중앙선,37.516169,127.399367
국회의사당,9호선,37.528105,126.917874
군자,5호선7호선,37.557121,127.079542
군포,1호선,37.35356,126.948462
굴봉산,경춘선,37.832067,127.557695
굽은다리,5호선,37.545477,127.142853
금곡,경춘선,37.637382,127.207853
금릉,경의중앙선,37.751322,126.765347
금정,1호선,37.372221,126.943429
금천구청,1호선,37.455626,126.89398
금촌,경의중앙선,37.766217,126.774644
금호,3호선,37.548034,127.015872
기흥,수인분당선,37.275619,127.115936
길동,5호선,37.537801,127.140004
길음,4호선,37.603407,127.025053
김유정,경춘선,37.818466,127.71434
김포공항,5호선9호선공항철도서해선,37.562434,126.801058
까치산,5호선,37.531768,126.846683
낙성대,2호선,37.47693,126.963693
남구로,7호선,37.486056,126.887249
남동인더스파크,수인분당선,37.407722,126.695216
남부터미널,3호선,37.485013,127.016189
남성,7호선,37.484596,126.971251
남영,1호선,37.541021,126.9713
남위례,8호선,,
남춘천,경춘선,37.864007,127.723792
남태령,4호선,37.463873,126.989134
남한산성입구,8호선,37.451535,127.159816
내방,7호선,37.487618,126.993513
노들,9호선,37.512887,126.953222
노량진,1호선9호선,37.514219,126.942454
노원,4호선7호선,37.655128,127.061368
녹번,3호선,37.600927,126.935756
녹사평,6호선,37.534675,126.986695
녹양,1호선,37.75938,127.042292
녹천,1호선,37.644799,127.051269
논현,7호선,37.511093,127.021415
능곡,경의중앙선,37.618808,126.820783
단대오거리,8호선,37.44521,127.156866
달월,수인분당선,37.379681,126.745177
답십리,5호선,37.566747,127.052704
당고개,4호선,37.670272,127.079066
당곡,신림선,,
당산,2호선9호선,37.53438,126.902281
당정,1호선,37.344285,126.948345
대곡,3호선,37.631626,126.811024
대공원,4호선,37.435675,127.006523
대림,2호선7호선,37.49297,126.895801
대모산입구,수인분당선,37.491373,127.07272
대방,1호선신림선,37.513342,126.926382
대성리,경춘선,37.684071,127.379319
대야미,4호선,37.328467,126.917332
대청,3호선,37.493514,127.079532
대치,3호선,37.494612,127.063642
대화,3호선,37.676087,126.747569
대흥,6호선,37.547771,126.942069
덕계,1호선,37.818486,127.056486
덕소,경의중앙선,37.586781,127.208832
덕정,1호선,37.843188,127.061277
도곡,3호선수인분당선,37.490858,127.055381
도농,경의중앙선,37.608806,127.161153
도림천,2호선,37.514287,126.882768
도봉,1호선,37.679563,127.045595
도봉산,1호선7호선,37.689313,127.046222
도심,경의중앙선,37.579622,127.222672
도원,경인선,37.468446,126.642706
도화,경인선,37.46607,126.668672
독립문,3호선,37.574571,126.957748
독바위,6호선,37.618456,126.933031
독산,1호선,37.466613,126.889249
돌곶이,6호선,37.610537,127.056431
동대문,1호선4호선,37.57142,127.009745
동대문역사문화공원,2호선4호선5호선,37.565138,127.007896
동대입구,3호선,37.559052,127.005602
동두천,1호선,37.927878,127.05479
동두천중앙,1호선,37.901885,127.056482
동묘앞,1호선6호선,37.572627,127.016429
동암,경인선,37.471408,126.702896
동인천,경인선,37.475276,126.632802
동작,4호선9호선,37.502971,126.979306
두정,1호선,36.833705,127.14896
둔촌동,5호선,37.527788,127.136248
둔촌오륜,9호선2~3단계,,
등촌,9호선,37.550632,126.865689
디지털미디어시티,6호선경의중앙선공항철도,37.576646,126.900984
뚝섬,2호선,37.547184,127.047367
마곡,5호선,37.560183,126.825448
마곡나루,9호선공항철도,37.567336,126.829497
마두,3호선,37.652206,126.77762
마들,7호선,37.66494,127.057675
마석,경춘선,37.652782,127.311767
마장,5호선,37.5661,127.042973
마천,5호선,37.49499,127.152781
마포,5호선,37.539574,126.945932
마포구청,6호선,37.563515,126.903343
망우,경의중앙선,37.59955,127.091909
망원,6호선,37.556094,126.910052
망월사,1호선,37.709914,127.047455
망포,수인분당선,37.245795,127.057353
매교,수인분당선,37.265481,127.015678
매봉,3호선,37.486947,127.046769
매탄권선,수인분당선,37.252759,127.040566
먹골,7호선,37.610637,127.077725
면목,7호선,37.588579,127.087503
명동,4호선,37.560989,126.986325
명일,5호선,37.55137,127.143999
명학,1호선,37.384653,126.935433
모란,8호선수인분당선,37.43213,127.129087
목동,5호선,37.526065,126.864931
몽촌토성,8호선,37.517409,127.112359
무악재,3호선,37.582299,126.950291
문래,2호선,37.517933,126.89476
문산,경의중앙선,37.854619,126.788047
문정,8호선,37.485855,127.1225
미금,수인분당선,37.350077,127.10891
미사,5호선,,
미아,4호선,37.62667,127.025983
미아사거리,4호선,37.613292,127.030053
반월,4호선,37.312212,126.903524
반포,7호선,37.508178,127.011727
발산,5호선,37.558598,126.837668
방배,2호선,37.481426,126.997596
방이,5호선,37.508857,127.126133
방학,1호선,37.667503,127.044273
방화,5호선,37.577446,126.812741
배방,1호선,36.777629,127.052991
백마,경의중앙선,37.658239,126.794461
백석,3호선,37.643114,126.78787
백양리,경춘선,37.830779,127.58933
백운,경인선,37.483664,126.707704
버티고개,6호선,37.548013,127.007055
범계,4호선,37.389793,126.950806
별내,경춘선,37.64202,127.12684
병점,1호선,37.207503,127.032731
보라매,7호선신림선,37.499872,126.920428
보라매공원,신림선,,
보라매병원,신림선,,
보문,6호선우이신설선,37.585286,127.019381
보산,1호선,37.913702,127.057277
보정,수인분당선,37.312752,127.108196
복정,8호선,37.470047,127.126662
봉명,1호선,36.801215,127.135763
봉은사,9호선2~3단계,37.514219,127.060245
봉천,2호선,37.482362,126.941892
봉화산,6호선,37.617283,127.091401
부개,경인선,37.488418,126.74109
부발,경강선,37.260192,127.490277
부천,경인선,37.48405,126.782686
부천종합운동장,서해선,37.50538,126.797337
부평,경인선,37.489493,126.724805
북한산보국문,우이신설선,37.612343,127.008009
북한산우이,우이신설선,37.663146,127.012789
불광,3호선6호선,37.610469,126.929887
사가정,7호선,37.580894,127.088478
사당,2호선4호선,37.47653,126.981685
사릉,경춘선,37.65108,127.176933
사리,수인분당선,,
사평,9호선,37.504206,127.015259
산본,4호선,37.358101,126.933274
산성,8호선,37.457122,127.149908
삼각지,4호선6호선,37.534777,126.97311
삼동,경강선,37.409522,127.20336
삼성,2호선,37.508844,127.06316
삼성중앙,9호선2~3단계,37.513011,127.053282
삼송,3호선,37.653083,126.895558
삼양,우이신설선,37.627165,127.018152
삼양사거리,우이신설선,37.621512,127.02048
삼전,9호선2~3단계,,
상갈,수인분당선,37.26181,127.108847
상계,4호선,37.660878,127.073572
상도,7호선,37.502834,126.94791
상록수,4호선,37.302795,126.866489
상봉,7호선경의중앙선,37.596362,127.085032
상수,6호선,37.547716,126.922852
상왕십리,2호선,37.564354,127.029354
상월곡,6호선,37.606377,127.048491
상일동,5호선,37.556712,127.166417
상천,경춘선,37.770246,127.454821
새절,6호선,37.591148,126.913629
샛강,9호선신림선,37.517274,126.928422
서강대,경의중앙선,37.551881,126.935711
서대문,5호선,37.565773,126.966641
서동탄,1호선,37.195504,127.051672
서빙고,1호선,37.519594,126.988537
서울대벤처타운,신림선,,
서울대입구,2호선,37.481247,126.952739
서울숲,수인분당선,37.543617,127.044707
서울역,1호선1호선4호선경의중앙선공항철도,,
서울지방병무청,신림선,,
서원,신림선,,
서정리,1호선,37.056496,127.052819
서초,2호선,37.491897,127.007917
서현,수인분당선,37.385126,127.123592
석계,1호선6호선,37.614805,127.065851
석수,1호선,37.435047,126.902295
석촌,8호선9호선2~3단계,37.505431,127.106979
석촌고분,9호선2~3단계,,
선릉,2호선수인분당선,37.504503,127.049008
선바위,4호선,37.451673,127.002303
선유도,9호선,37.53802,126.893525
선정릉,9호선2~3단계수인분당선,37.51098,127.043593
성균관대,1호선,37.300349,126.97075
성남,경강선,,
성수,2호선,37.544581,127.055961
성신여대입구,4호선우이신설선,37.592624,127.016403
성환,1호선,36.916076,127.126964
세류,1호선,37.245025,127.013222
세마,1호선,37.187533,127.04318
세종대왕릉,경강선,37.295309,127.570938
소래포구,수인분당선,37.40095,126.733522
소사,경인선,37.482753,126.79544
소요산,1호선,37.9481,127.061034
솔밭공원,우이신설선,37.656088,127.013252
솔샘,우이신설선,37.62124,127.013528
송내,경인선,37.4876,126.753664
송도,수인분당선,37.428514,126.657772
송정,5호선,37.561184,126.811973
송탄,1호선,37.075696,127.054301
송파,8호선,37.499703,127.112183
송파나루,9호선2~3단계,,
수내,수인분당선,37.378455,127.114322
수락산,7호선,37.67785,127.055315
수리산,4호선,37.349801,126.925365
수색,경의중앙선,37.580842,126.895611
수서,3호선수인분당선,37.487371,127.10188
수원,1호선수인분당선,37.265974,126.999874
수원시청,수인분당선,37.261911,127.030736
수유,4호선,37.638052,127.025732
수진,8호선,37.437428,127.140722
숙대입구,4호선,37.54456,126.972106
숭실대입구,7호선,37.496029,126.953822
숭의,수인분당선,37.460789,126.638297
시청,1호선2호선,37.564718,126.977108
신갈,수인분당선,37.286102,127.111313
신금호,5호선,37.554548,127.020331
신길,1호선5호선,37.517122,126.917169
신길온천,4호선,37.338212,126.765844
신내,경춘선,37.612887,127.103218
신논현,9호선,37.504598,127.02506
신답,2호선,37.57004,127.046481
신당,2호선6호선,37.565972,127.01782
신대방,2호선,37.487462,126.913149
신대방삼거리,7호선,37.499701,126.928276
신도림,1호선2호선,37.508725,126.891295
신둔도예촌,경강선,37.317185,127.40476
신림,2호선신림선,37.484201,126.929715
신목동,9호선,37.544277,126.88308
신반포,9호선,37.503415,126.995925
신방화,9호선,37.567532,126.816601
신사,3호선,37.516334,127.020114
신설동,1호선2호선우이신설선,37.575297,127.025087
신용산,4호선,37.52917,126.967894
신원,경의중앙선,37.525545,127.372921
신이문,1호선,37.601854,127.067325
신정,5호선,37.524997,126.856191
신정네거리,2호선,37.520074,126.852912
신창,1호선,36.769502,126.951108
신촌,2호선경의중앙선,37.555134,126.936893
신포,수인분당선,37.46874,126.623853
신풍,7호선,37.50008,126.90993
신흥,8호선,37.440918,127.147564
쌍문,4호선,37.648627,127.034709
쌍용,1호선,36.793759,127.1214
아산,1호선,36.792053,127.104361
아신,경의중앙선,37.51382,127.443173
아차산,5호선,37.551691,127.089761
아현,2호선,37.557345,126.956141
안국,3호선,37.576477,126.985443
안산,4호선,37.327082,126.788532
안암,6호선,37.586272,127.029005
안양,1호선,37.401592,126.922874
암사,8호선,37.55021,127.127562
암사역사공원,8호선,,
압구정,3호선,37.527072,127.028461
압구정로데오,수인분당선,37.527381,127.040534
애오개,5호선,37.553736,126.95682
야당,경의중앙선,37.712327,126.761356
야목,수인분당선,,
야탑,수인분당선,37.411185,127.128715
약수,3호선6호선,37.55434,127.010655
양수,경의중앙선,37.545981,127.329098
양원,경의중앙선,37.606596,127.107906
양재,3호선,37.484147,127.034631
양정,경의중앙선,37.60533,127.19364
양주,1호선,37.774381,127.044708
양천구청,2호선,37.512398,126.865819
양천향교,9호선,37.568381,126.841333
양평,5호선경의중앙선,37.492832,127.491814
어린이대공원,7호선,37.548014,127.074658
어천,수인분당선,,
언주,9호선2~3단계,37.507287,127.033868
여의나루,5호선,37.527098,126.932901
여의도,5호선9호선,37.521624,126.924191
여주,경강선,37.282701,127.628607
역곡,경인선,37.485178,126.811502
역삼,2호선,37.500622,127.036456
역촌,6호선,37.606021,126.922744
연수,수인분당선,37.417804,126.67894
연신내,3호선,37.619001,126.921008
연천,1호선,,
염창,9호선,37.546936,126.874916
영등포,1호선,37.515504,126.907628
영등포구청,2호선5호선,37.52497,126.895951
영등포시장,5호선,37.522669,126.905139
영종,공항철도,37.511466,126.5237
영통,수인분당선,37.251568,127.071394
오금,3호선5호선,37.502162,127.128111
오류동,경인선,37.494526,126.845365
오리,수인분당선,37.339824,127.108942
오목교,5호선,37.524496,126.875181
오목천,수인분당선,,
오빈,경의중앙선,37.506062,127.473868
오산,1호선,37.145885,127.06672
오산대,1호선,37.168953,127.063197
오이도,4호선,37.362357,126.738714
옥수,3호선,37.540685,127.017965
온수,7호선경인선,37.492258,126.823388
온양온천,1호선,36.780483,127.003249
올림픽공원,5호선9호선2~3단계,37.516078,127.130848
왕십리,2호선5호선경의중앙선,37.561533,127.037732
외대앞,1호선,37.596073,127.063549
용답,2호선,37.561904,127.050899
용두,2호선,37.574028,127.038091
용마산,7호선,37.573647,127.086727
용문,경의중앙선,37.48223,127.594647
용산,1호선,37.529849,126.964561
우장산,5호선,37.548768,126.836318
운길산,경의중앙선,37.554669,127.310115
운서,공항철도,37.492904,126.49379
운정,경의중앙선,37.725826,126.767257
원당,3호선,37.653324,126.843041
원덕,경의중앙선,37.468672,127.547076
원인재,수인분당선,37.412603,126.687389
원종,서해선,,
원흥,3호선,37.650658,126.872642
월계,1호선,37.633212,127.058831
월곡,6호선,37.601948,127.041518
월곶,수인분당선,37.391769,126.742699
월드컵경기장,6호선,37.569532,126.899298
월롱,경의중앙선,37.796188,126.792587
을지로3가,2호선3호선,37.566295,126.99191
을지로4가,2호선5호선,37.566941,126.998079
을지로입구,2호선,37.566014,126.982618
응봉,경의중앙선,37.549946,127.034538
응암,6호선,37.598605,126.915577
의왕,1호선,37.320852,126.948217
의정부,1호선,37.738415,127.045958
이대,2호선,37.556733,126.946013
이매,경강선수인분당선,37.396104,127.12827
이수,7호선,37.486263,126.981989
이천,경강선,37.265579,127.44226
이촌,4호선경의중앙선,37.522272,126.974345
이태원,6호선,37.534488,126.994302
인덕원,4호선,37.401553,126.976715
인천,경인선수인분당선,37.476691,126.616936
인천공항1터미널,공항철도,,
인천공항2터미널,공항철도,,
인천논현,수인분당선,37.400614,126.722478
인하대,수인분당선,37.448493,126.649619
일산,경의중앙선,37.682077,126.769846
일원,3호선,37.483681,127.08439
자양,7호선,,
잠실,2호선8호선,37.51395,127.102234
잠실나루,2호선,37.520733,127.10379
잠실새내,2호선,37.511687,127.086162
잠원,3호선,37.512759,127.01122
장승배기,7호선,37.504898,126.93915
장암,7호선,37.700109,127.053196
장지,8호선,37.478703,127.126191
장한평,5호선,37.56144,127.064623
전곡,1호선,,
정릉,우이신설선,37.602798,127.01349
정발산,3호선,37.659477,126.773359
정부과천청사,4호선,37.426513,126.98978
정왕,4호선,37.351735,126.742989
정자,수인분당선,37.36706,127.108105
제기동,1호선,37.578103,127.034893
제물포,경인선,37.466769,126.656666
종각,1호선,37.570161,126.982923
종로3가,1호선3호선5호선,37.571607,126.991806
종로5가,1호선,37.570926,127.001849
종합운동장,2호선9호선2~3단계,37.510997,127.073642
주안,경인선,37.464941,126.679923
주엽,3호선,37.670072,126.761334
죽전,수인분당선,37.324753,127.107395
중계,7호선,37.644583,127.064303
중곡,7호선,37.565923,127.08432
중동,경인선,37.486562,126.764843
중랑,경의중앙선,37.594917,127.076116
중앙,4호선,37.315941,126.838573
중앙보훈병원,9호선2~3단계,,
중화,7호선,37.602545,127.079264
증미,9호선,37.557402,126.861939
증산,6호선,37.583876,126.909645
지축,3호선,37.648048,126.913951
지평,경의중앙선,37.476444,127.629617
지행,1호선,37.892334,127.055716
직산,1호선,36.870593,127.143904
진위,1호선,37.109447,127.062278
창동,4호선,37.653166,127.047731
창신,6호선,37.579661,127.015241
천마산,경춘선,37.658978,127.285379
천안,1호선,36.810005,127.146826
천왕,7호선,37.486637,126.838713
천호,5호선8호선,37.538397,127.123572
철산,7호선,37.47605,126.867911
청구,5호선6호선,37.560245,127.013828
청담,7호선,37.519365,127.05335
청라국제도시,공항철도,37.555878,126.625327
청량리,1호선경의중앙선,37.580178,127.046835
청명,수인분당선,37.259489,127.078934
청산,1호선,,
청평,경춘선,37.735488,127.42661
초월,경강선,37.374419,127.299
초지,4호선,37.320646,126.805913
총신대입구,4호선,37.486263,126.981989
춘천,경춘선,37.885054,127.717023
충무로,4호선,37.561243,126.99428
충정로,2호선5호선,37.559973,126.963672
탄현,경의중앙선,37.694023,126.761086
탕정,1호선,,
태릉입구,6호선7호선,37.617983,127.07512
태평,수인분당선,37.440019,127.127709
퇴계원,경춘선,37.648311,127.143952
파주,경의중앙선,37.815298,126.792783
판교,경강선,37.394761,127.111217
팔당,경의중앙선,37.547371,127.243939
평내호평,경춘선,37.653225,127.244493
평촌,4호선,37.394287,126.963883
평택,1호선,36.990726,127.085159
평택지제,1호선,,
풍산,경의중앙선,37.672346,126.786243
하계,7호선,37.636352,127.06799
하남검단산,5호선,,
하남시청,5호선,,
하남풍산,5호선,,
학동,7호선,37.514229,127.031656
학여울,3호선,37.496663,127.070594
한강진,6호선,37.539631,127.001725
한국항공대,경의중앙선,,
한남,경의중앙선,37.52943,127.009169
한대앞,4호선,37.309689,126.85344
한성대입구,4호선,37.588458,127.006221
한성백제,9호선2~3단계,,
한양대,2호선,37.555273,127.043655
한티,수인분당선,37.496237,127.052873
합정,2호선6호선,37.549463,126.913739
행당,5호선,37.557322,127.029476
행신,경의중앙선,37.612102,126.834146
혜화,4호선,37.582336,127.001844
호구포,수인분당선,37.401637,126.708627
홍대입구,2호선경의중앙선공항철도,37.557192,126.925381
홍제,3호선,37.589066,126.943736
화계,우이신설선,37.634802,127.017519
화곡,5호선,37.541513,126.840461
화랑대,6호선,37.620064,127.084689
화서,1호선,37.283862,126.989627
화정,3호선,37.634592,126.83265
회기,경의중앙선,37.58946,127.057583
회룡,1호선,37.724846,127.046895
회현,4호선,37.558514,126.978246
효창공원앞,6호선경의중앙선,37.539261,126.961351
흑석,9호선,37.50877,126.963708
